Epoch: 10 | train enc_loss: 0.75321 | running time: 147.44 sec
Epoch: 11 | train enc_loss: 0.73923 | running time: 155.10 sec
Epoch: 12 | train enc_loss: 0.72126 | running time: 153.58 sec
Epoch: 13 | train enc_loss: 0.69634 | running time: 151.30 sec
Epoch: 14 | train enc_loss: 0.68362 | running time: 153.96 sec
Epoch: 15 | train enc_loss: 0.67294 | running time: 156.71 sec
Epoch: 16 | train enc_loss: 0.65061 | running time: 147.85 sec
Epoch: 17 | train enc_loss: 0.63697 | running time: 147.73 sec
Epoch: 18 | train enc_loss: 0.62156 | running time: 147.59 sec
Epoch: 19 | train enc_loss: 0.60072 | running time: 156.50 sec
Epoch: 20 | train enc_loss: 0.58746 | running time: 147.51 sec
Epoch: 21 | train enc_loss: 0.50486 | running time: 150.74 sec
python thumos_lstm_train.py --gpu 0,1,2,3 --distributed --verbose
python thumos_lstm_train.py --gpu 0,1,2,3 --distributed --verbose
python thumos_lstm_train.py --gpu 0,1,2,3 --distributed --verbose
python thumos_lstm_train.py --gpu 0,1,2,3 --distributed --verbose
python thumos_lstm_train.py --gpu 0,1,2,3 --distributed --verbose
python thumos_lstm_train.py --gpu 0,1,2,3 --distributed --verbose
python thumos_lstm_train.py --gpu 0,1,2,3 --distributed --verbose
python thumos_second_train.py --gpu 0,1,2,3 --distributed --verbose
Epoch:  1 | train enc_loss: 0.93877 | running time: 232.41 sec
Epoch:  2 | train enc_loss: 0.56716 | running time: 216.20 sec
Epoch:  3 | train enc_loss: 0.47199 | running time: 218.18 sec
Epoch:  4 | train enc_loss: 0.42666 | running time: 218.46 sec
Epoch:  5 | train enc_loss: 0.40147 | running time: 211.42 sec
Epoch:  6 | train enc_loss: 0.37441 | running time: 219.84 sec
Epoch:  7 | train enc_loss: 0.36070 | running time: 211.60 sec
Epoch:  8 | train enc_loss: 0.34610 | running time: 177.06 sec
Epoch:  9 | train enc_loss: 0.32746 | running time: 211.94 sec
Epoch: 10 | train enc_loss: 0.32370 | running time: 214.16 sec
Epoch: 11 | train enc_loss: 0.30423 | running time: 215.49 sec
Epoch: 12 | train enc_loss: 0.28920 | running time: 214.89 sec
Epoch: 13 | train enc_loss: 0.28668 | running time: 211.94 sec
Epoch: 14 | train enc_loss: 0.27753 | running time: 211.19 sec
Epoch: 15 | train enc_loss: 0.26303 | running time: 211.55 sec
Epoch: 16 | train enc_loss: 0.26311 | running time: 213.01 sec
Epoch: 17 | train enc_loss: 0.25060 | running time: 217.58 sec
Epoch: 18 | train enc_loss: 0.24548 | running time: 217.33 sec
Epoch: 19 | train enc_loss: 0.23644 | running time: 219.23 sec
Epoch: 20 | train enc_loss: 0.23227 | running time: 184.04 sec
Epoch: 21 | train enc_loss: 0.17224 | running time: 213.10 sec
python thumos_second_train.py --gpu 0,1,2,3 --distributed --verbose
python thumos_second_train.py --gpu 0,1,2,3 --distributed --verbose
python thumos_second_train.py --gpu 0,1,2,3 --distributed --verbose
Epoch:  1 | train enc_loss: 0.93877 | running time: 223.77 sec
Epoch:  2 | train enc_loss: 0.56716 | running time: 215.42 sec
Epoch:  3 | train enc_loss: 0.47199 | running time: 210.67 sec
Epoch:  4 | train enc_loss: 0.42666 | running time: 217.76 sec
Epoch:  5 | train enc_loss: 0.40147 | running time: 215.67 sec
Epoch:  6 | train enc_loss: 0.37441 | running time: 209.84 sec
Epoch:  7 | train enc_loss: 0.36070 | running time: 218.18 sec
Epoch:  8 | train enc_loss: 0.34610 | running time: 217.29 sec
Epoch:  9 | train enc_loss: 0.32746 | running time: 187.54 sec
Epoch: 10 | train enc_loss: 0.32370 | running time: 219.55 sec
Epoch: 11 | train enc_loss: 0.30423 | running time: 214.99 sec
Epoch: 12 | train enc_loss: 0.28920 | running time: 210.37 sec
Epoch: 13 | train enc_loss: 0.28668 | running time: 214.00 sec
Epoch: 14 | train enc_loss: 0.27753 | running time: 212.00 sec
Epoch: 15 | train enc_loss: 0.26303 | running time: 217.16 sec
Epoch: 16 | train enc_loss: 0.26311 | running time: 216.61 sec
Epoch: 17 | train enc_loss: 0.25060 | running time: 217.41 sec
Epoch: 18 | train enc_loss: 0.24548 | running time: 214.28 sec
Epoch: 19 | train enc_loss: 0.23644 | running time: 215.40 sec
Epoch: 20 | train enc_loss: 0.23227 | running time: 197.54 sec
Epoch: 21 | train enc_loss: 0.17224 | running time: 206.55 sec
python thumos_lstm_train.py --gpu 0,1,2,3 --distributed --verbose
python thumos_lstm_train.py --gpu 0,1,2,3 --distributed --verbose
python thumos_lstm_train.py --gpu 0,1,2,3 --distributed --verbose
python thumos_lstm_train.py --gpu 0,1,2,3 --distributed --verbose
